id,temporada,n_en_serie,n_en_temp,dirigido_por,escrito_por,descripcion,title,year,im_db_rating,num_votes,mujer,hombre,adolescente,nino,asesino,cuerpo,victima,piromano,familia
1,1,1,1,Richard Shepard,Jeff Davis,"Cuando una quinta mujer desaparece en Seattle en un período de cuatro meses, la UAC es contratada para localizar al asesino en serie. Arrestan a un sospechoso, pero después de ver que el perfil no coincide, se dan cuenta rápidamente de que tiene un compañero al que tienen que localizar antes de que vuelva a matar.",Mentes criminales: Extreme Aggressor,2005,7.8,3929,1,0,0,0,1,0,0,0,0
2,1,2,2,Charles Haid,Jeff Davis,"La UAC es requerida para investigar una serie de incendios en un campus universitario. Como la mayoría de las pruebas han sido destruidas por el fuego, Gideon y su equipo deben recurrir al análisis psicológico para establecer un perfil y desenmascarar al pirómano. Cuando se inicia un nuevo incendio que amenaza con acabar con la vida de varias personas, el equipo debe trabajar a contra reloj para atrapar al ignoto.",Mentes criminales: Compulsion,2005,7.6,3311,0,0,0,0,0,0,0,1,0
3,1,3,3,Kavin Bray,Aaron Zelman,"Un delincuente está provocando el pánico en una pequeña ciudad mediante la colocación de artefactos explosivos. Jason Gideon sospecha que se trata de un discípulo aventajado de Adrian Bale, su peor enemigo, el culpable de la muerte de seis agentes, pero que entrega la responsabilidad a Gideon, quien dejó entrar a los agentes confiando en la palabra de Bale de no detonar la bomba. El agente deberá reencontrarse cara a cara con Bale para tratar de dar captura a su protegido, uno de sus seguidores, a quien desde la cárcel intentó ayudar.",Mentes criminales: Won't Get Fooled Again,2005,7.6,3195,0,0,0,0,0,0,0,0,0
4,1,4,4,Matt Earl Beesley,Edward Allen Bernero,La Unidad de Análisis de la Conducta acude a San Diego para establecer el perfil de un violador y asesino en serie que actúa a plena luz del día burlando las investigaciones de las autoridades locales.,Mentes criminales: Plain Sight,2005,7.7,2955,0,0,0,0,1,0,0,0,0
5,1,5,5,Guy Norman Bee,Judith McCreary,"Los acontecimientos ocurren en Connecticut, donde Trish Davenport, hija del Fiscal del Distrito, ha sido secuestrada. La Unidad de Análisis de la Conducta acude a la ciudad para negociar con el delincuente. Cuando el secuestrador establece el primer contacto, insiste en hablar con Cheryl, la hermana gemela de la niña, a la que da instrucciones para pagar el rescate. Para sorpresa de todos, el delincuente ha desviado la atención sobre el dinero. El equipo dirigido por Jason Gideon establece el perfil del secuestrador: un hombre blanco, narcisista y pretencioso que se ha esforzado mucho para conseguir un puesto de autoridad en su trabajo.",Mentes criminales: Broken Mirror,2005,7.8,3067,0,1,0,1,0,0,0,0,0
6,1,6,6,Ernest Dickerson,Andrew Wilder,"En este capítulo, la Unidad de Análisis de la Conducta se enfrenta a un francotirador que actúa a plena luz del día en el parque Franklin de Illinois. Por el tipo de arma que utiliza (un rifle M4) y por las posiciones en las que realiza los disparos, el equipo liderado por Jason Gideon deduce que se trata de un hombre que pertenece o ha pertenecido en algún momento a las fuerzas de seguridad. El equipo comienza la búsqueda de un hombre de entre treinta y cuarenta años que conduce un coche para ocultar su arma, con trastornos de personalidad paranoide, que hace ejercicio de forma compulsiva y que siempre va armado. En este episodio Spencer Reid no pasa su examen de uso de armas, aun con la ayuda de Hotchner, y recibe al principio las burlas de Derek Morgan, sin embargo, Hotchner le recuerda las palabras de Gideon: «No es necesario un arma para matar a un hombre, sino un perfil adecuado».",Mentes criminales: L.D.S.K.,2005,8.3,3632,0,1,0,0,0,0,0,0,0
7,1,7,7,Guy Norman Bee,Simon Mirren,"En esta ocasión la Unidad de Análisis de la Conducta se enfrenta a un individuo (Neal Jones) que ha asesinado a todos los miembros de una familia, una familia con dos hijos (un niño y una niña), idéntica a la familia que el sospechoso tenía y que había perdido.",Mentes criminales: The Fox,2005,7.9,2982,0,0,0,1,1,0,0,0,1
8,1,8,8,Peter Ellis,Debra J. Fisher & Erica Messer,"La acción se sitúa en Maryland, donde dos chicos, Jimmy y Freddy (Val Lauren), salen de un bar y se encuentran con un policía. Jimmy tiene unas palabras con el agente y Freddy parece desconfiar. Poco después, Jimmy deja a Freddy en su casa.

A la mañana siguiente, un matrimonio aparece muerto en su casa con signos evidentes de tortura. Además, parece que otra persona murió también en la vivienda, pero el asesino (Patrick Kilpatrick) se llevó su cuerpo descuartizado. La Unidad de Análisis de la Conducta dictamina que el asesino tenía que tener algún vínculo con la tercera víctima, ya que fue la única que no dejó en la escena del crimen.",Mentes criminales: Natural Born Killer,2005,7.5,2825,0,0,0,0,1,1,1,0,0
9,1,9,9,Félix Alcalá,Jeff Davis,"La acción se sitúa en el tren en el que viaja la agente Elle Greenaway de la Unidad de Análisis de Conducta del FBI. Uno de los pasajeros (Chris Bauer) padece de esquizofrenia, y era llevado por su doctora (Susan Gibney) a Dallas a un simposio para dar a conocer los progresos de su paciente. Sin embargo, en un momento dado e instigado por su amigo imaginario (Jeff Kober), se apodera del arma de un policía y se hace con el control del tren. Desde el exterior, Hotchner y Gideon tratan de establecer cuáles son sus motivaciones y sus puntos vulnerables para que ningún pasajero resulte dañado.",Mentes criminales: Derailed,2005,7.8,3634,0,0,0,0,0,0,0,0,0
10,1,10,10,Andy Wolk,Edward Allen Bernero,"En un lugar apartado de la montaña aparecen dos cadáveres en un bosque junto a una nota que dice: «Satán vive SLD». Además, la novia de una de las víctimas ha desaparecido en la misma zona. La UAC organiza una búsqueda con ayuda de la población local, creyendo que el sospechoso intentará ayudar para conocer más sobre los avances de la investigación. Jason Gideon advierte al resto del grupo que el asesino debe de ser una de las personas implicadas en la búsqueda.",Mentes criminales: The Popular Kids,2005,7.5,3266,0,0,0,0,1,0,1,0,0
